ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,note
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877055,168.5,0.303,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877056,168.5,0.051,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877057,168.5,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877058,168.5,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877059,168.5,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877060,168.5,0.03,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877061,168.5,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877062,168.5,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877063,168.5,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877064,168.5,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877065,168.5,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877066,168.51,0.035,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877067,168.51,0.03,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877068,168.51,0.03,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877069,168.51,0.045,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877070,168.51,0.06,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877071,168.51,0.03,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877072,168.51,0.4,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877073,168.51,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877074,168.51,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877075,168.51,0.06,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877076,168.51,1,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877077,168.51,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877078,168.51,0.032,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877079,168.51,0.048,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877080,168.51,0.031,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.592Z,SOLUSDT,ws,ws,1,1703877081,168.51,0.06,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.593Z,SOLUSDT,ws,ws,1,1703877082,168.51,10,,,,0,1762783553437,1762783553592,
2025-11-10T14:05:53.593Z,SOLUSDT,ws,ws,1,1703877083,168.51,0.032,,,,0,1762783553437,1762783553593,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235279,168.5,3.901,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235280,168.5,5.94,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235281,168.5,5.94,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235282,168.5,1.225,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,ws,ws,1,1703877084,168.52,0.03,,,,0,1762783553445,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,ws,ws,1,1703877085,168.52,0.035,,,,0,1762783553445,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235283,168.5,10,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,ws,ws,1,1703877086,168.52,0.03,,,,0,1762783553445,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,ws,ws,1,1703877087,168.52,0.06,,,,0,1762783553445,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235284,168.5,0.034,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,ws,ws,1,1703877088,168.52,0.009,,,,0,1762783553445,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235285,168.5,0.032,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235286,168.5,0.032,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235287,168.5,0.032,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235288,168.5,0.048,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235289,168.5,9.345,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.598Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235290,168.5,0.303,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235291,168.5,0.051,,,,1762783553584,0,1762783553598,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235292,168.5,0.032,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235293,168.5,0.032,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235294,168.5,0.032,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235295,168.5,0.03,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235296,168.5,0.032,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235297,168.5,0.032,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235298,168.5,0.032,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235299,168.5,0.032,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235300,168.5,0.032,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235301,168.51,0.035,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235302,168.51,0.03,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235303,168.51,0.03,,,,1762783553584,0,1762783553599,
