ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,price_diff,matched_with,note
2025-10-28T21:12:05.664Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10396,2.5762,2,,,,1761685925641,0,1761685925664,,,
2025-10-28T21:12:05.665Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10397,2.5762,2.1,,,,1761685925641,0,1761685925664,,,
2025-10-28T21:12:05.665Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10398,2.5762,2.1,,,,1761685925641,0,1761685925665,,,
2025-10-28T21:12:05.665Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10399,2.5762,2,,,,1761685925641,0,1761685925665,,,
2025-10-28T21:12:05.665Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10400,2.5762,2,,,,1761685925641,0,1761685925665,,,
2025-10-28T21:12:05.665Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10401,2.5762,2,,,,1761685925641,0,1761685925665,,,
2025-10-28T21:12:05.665Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10402,2.5762,6.6,,,,1761685925641,0,1761685925665,,,
2025-10-28T21:12:05.665Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10403,2.5762,2,,,,1761685925641,0,1761685925665,,,
2025-10-28T21:12:05.665Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10404,2.5762,2.1,,,,1761685925641,0,1761685925665,,,
2025-10-28T21:12:05.665Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10405,2.5763,2.1,,,,1761685925641,0,1761685925665,,,
2025-10-28T21:12:05.665Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10406,2.5763,2.1,,,,1761685925641,0,1761685925665,,,
2025-10-28T21:12:05.666Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10407,2.5763,2.2,,,,1761685925641,0,1761685925666,,,
2025-10-28T21:12:05.666Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10408,2.5763,2,,,,1761685925641,0,1761685925666,,,
2025-10-28T21:12:05.666Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10409,2.5763,2.1,,,,1761685925641,0,1761685925666,,,
2025-10-28T21:12:05.666Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10410,2.5764,2,,,,1761685925641,0,1761685925666,,,
2025-10-28T21:12:05.666Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10411,2.5764,2.1,,,,1761685925641,0,1761685925666,,,
2025-10-28T21:12:05.666Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10412,2.5764,2.1,,,,1761685925641,0,1761685925666,,,
2025-10-28T21:12:05.666Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10413,2.5764,2,,,,1761685925641,0,1761685925666,,,
2025-10-28T21:12:05.666Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10414,2.5764,2.1,,,,1761685925641,0,1761685925666,,,
2025-10-28T21:12:05.934Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10474,2.5765,5.4,,,,1761685925905,0,1761685925934,,,
2025-10-28T21:12:06.280Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10685,2.5764,16.1,,,,1761685926237,0,1761685926280,,,
2025-10-28T21:12:06.597Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10749,2.5764,6.7,,,,1761685926553,0,1761685926596,,,
2025-10-28T21:12:06.862Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10805,2.5765,27.8,,,,1761685926818,0,1761685926862,,,
2025-10-28T21:12:06.862Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10806,2.5765,2,,,,1761685926818,0,1761685926862,,,
2025-10-28T21:12:06.862Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10807,2.5765,2,,,,1761685926818,0,1761685926862,,,
2025-10-28T21:12:06.862Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10808,2.5765,735.1,,,,1761685926818,0,1761685926862,,,
2025-10-28T21:12:06.919Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10816,2.5764,16.4,,,,1761685926864,0,1761685926919,,,
