ws_idx,mmap_idx,ws_id,mmap_id,ws_ts_ms,mmap_ts_ms,dt_ms,ws_px,mmap_px,price_diff,abs_diff
99,18,,1529.0,1761504975414.0,1761504975420.0,6.0,,113647.77,,
100,18,,1529.0,1761504975414.0,1761504975420.0,6.0,,113647.77,,
101,18,,1529.0,1761504975427.0,1761504975420.0,7.0,,113647.77,,
102,18,,1529.0,1761504975427.0,1761504975420.0,7.0,,113647.77,,
103,18,,1529.0,1761504975428.0,1761504975420.0,8.0,,113647.77,,
104,18,,1529.0,1761504975428.0,1761504975420.0,8.0,,113647.77,,
105,18,,1529.0,1761504975428.0,1761504975420.0,8.0,,113647.77,,
106,18,,1529.0,1761504975428.0,1761504975420.0,8.0,,113647.77,,
107,18,,1529.0,1761504975445.0,1761504975420.0,25.0,,113647.77,,
109,18,,1529.0,1761504975446.0,1761504975420.0,26.0,,113647.77,,
110,18,,1529.0,1761504975453.0,1761504975420.0,33.0,,113647.77,,
113,18,,1529.0,1761504975468.0,1761504975420.0,48.0,,113647.77,,
112,18,,1529.0,1761504975468.0,1761504975420.0,48.0,,113647.77,,
111,18,,1529.0,1761504975468.0,1761504975420.0,48.0,,113647.77,,
114,18,,1529.0,1761504975470.0,1761504975420.0,50.0,,113647.77,,
115,18,,1529.0,1761504975470.0,1761504975420.0,50.0,,113647.77,,
116,18,,1529.0,1761504975470.0,1761504975420.0,50.0,,113647.77,,
117,18,,1529.0,1761504975566.0,1761504975420.0,146.0,,113647.77,,
118,18,,1529.0,1761504975566.0,1761504975420.0,146.0,,113647.77,,
119,18,,1529.0,1761504975570.0,1761504975420.0,150.0,,113647.77,,
120,19,,1547.0,1761504975655.0,1761504975810.0,155.0,,113647.77,,
121,19,,1547.0,1761504975655.0,1761504975810.0,155.0,,113647.77,,
122,19,,1547.0,1761504975656.0,1761504975810.0,154.0,,113647.77,,
123,19,,1547.0,1761504975656.0,1761504975810.0,154.0,,113647.77,,
124,19,,1547.0,1761504975674.0,1761504975810.0,136.0,,113647.77,,
130,19,5390928259.0,1547.0,1761504975692.0,1761504975810.0,118.0,113647.77,113647.77,0.0,0.0
125,19,,1547.0,1761504975712.0,1761504975810.0,98.0,,113647.77,,
126,19,,1547.0,1761504975781.0,1761504975810.0,29.0,,113647.77,,
127,19,,1547.0,1761504975782.0,1761504975810.0,28.0,,113647.77,,
128,19,,1547.0,1761504975783.0,1761504975810.0,27.0,,113647.77,,
129,19,,1547.0,1761504975783.0,1761504975810.0,27.0,,113647.77,,
131,19,,1547.0,1761504975829.0,1761504975810.0,19.0,,113647.77,,
132,19,,1547.0,1761504975865.0,1761504975810.0,55.0,,113647.77,,
133,19,,1547.0,1761504975865.0,1761504975810.0,55.0,,113647.77,,
