ts, snap_count, snap_bytes, snap_avg_ex_recv_ms, snap_avg_recv_write_ms, snap_max_ex_recv_ms, snap_max_recv_write_ms, trade_count, trade_bytes, trade_avg_ex_recv_ms, trade_avg_recv_write_ms, trade_max_ex_recv_ms, trade_max_recv_write_ms
1761505027, 4713, 277179, 0, 7, 0, 99, 1256, 107175, 0, 0, 0, 0
1761505028, 4141, 222851, 0, 2, 0, 62, 545, 46823, 0, 0, 0, 0
1761505029, 2710, 139390, 0, 1, 0, 30, 344, 29398, 0, 0, 0, 0
1761505030, 2488, 108549, 0, 2, 0, 48, 190, 16230, 0, 0, 0, 0
1761505031, 3591, 170454, 0, 0, 0, 18, 392, 33538, 0, 0, 0, 0
1761505032, 2521, 131775, 0, 3, 0, 48, 524, 44926, 0, 0, 0, 0
1761505033, 3436, 187433, 0, 3, 0, 55, 710, 59878, 0, 0, 0, 0
1761505034, 3441, 151944, 0, 1, 0, 25, 702, 62699, 0, 0, 0, 0
1761505035, 3471, 181906, 0, 1, 0, 25, 378, 32403, 0, 0, 0, 0
1761505036, 2475, 127229, 0, 1, 0, 34, 254, 21681, 0, 0, 0, 0
1761505037, 3225, 185231, 0, 1, 0, 32, 384, 32782, 0, 0, 0, 0
1761505038, 3580, 186404, 0, 3, 0, 77, 478, 40859, 0, 0, 0, 0
1761505039, 2550, 123866, 0, 0, 0, 18, 372, 31969, 0, 0, 0, 0
1761505040, 2428, 121491, 0, 1, 0, 26, 350, 29862, 0, 0, 0, 0
1761505041, 4168, 162280, 0, 1, 0, 25, 664, 57126, 0, 0, 0, 0
1761505042, 2496, 119273, 0, 0, 0, 24, 380, 32355, 0, 0, 0, 0
1761505043, 4770, 222181, 0, 2, 0, 71, 1511, 124222, 0, 0, 0, 0
1761505044, 4974, 233583, 0, 4, 0, 63, 1878, 166931, 0, 0, 0, 0
1761505045, 8340, 362176, 0, 17, 0, 319, 873, 78845, 0, 0, 0, 0
1761505046, 4031, 198957, 0, 1, 0, 34, 680, 58601, 0, 0, 0, 0
1761505047, 3053, 162317, 0, 2, 0, 53, 374, 32135, 0, 0, 0, 0
1761505048, 7125, 234765, 0, 2, 0, 86, 2795, 168288, 0, 0, 0, 0
1761505049, 7808, 341585, 0, 23, 0, 340, 1303, 184243, 0, 0, 0, 0
1761505050, 5838, 220380, 0, 5, 0, 108, 1618, 139453, 0, 0, 0, 0
1761505051, 3851, 215592, 0, 9, 0, 177, 634, 54188, 0, 0, 0, 0
1761505052, 2688, 101774, 0, 1, 0, 25, 370, 31610, 0, 0, 0, 0
1761505053, 3054, 132712, 0, 1, 0, 40, 526, 44883, 0, 0, 0, 0
1761505054, 3719, 167782, 0, 1, 0, 48, 592, 50906, 0, 0, 0, 0
1761505055, 3574, 182695, 0, 1, 0, 27, 330, 28295, 0, 0, 0, 0
1761505056, 3169, 173308, 0, 1, 0, 29, 212, 18295, 0, 0, 0, 0
1761505057, 2942, 143700, 0, 1, 0, 38, 618, 53144, 0, 0, 0, 0
1761505058, 2084, 90835, 0, 2, 0, 42, 200, 17199, 0, 0, 0, 0
1761505059, 4246, 201191, 0, 1, 0, 34, 534, 46488, 0, 0, 0, 0
1761505060, 2804, 149864, 0, 3, 0, 61, 251, 21515, 0, 0, 0, 0
1761505061, 3280, 167794, 0, 1, 0, 25, 345, 29544, 0, 0, 0, 0
1761505062, 2329, 98958, 0, 1, 0, 40, 660, 57527, 0, 0, 0, 0
1761505063, 4093, 204194, 0, 6, 0, 98, 626, 53797, 0, 0, 0, 0
1761505064, 2234, 108481, 0, 2, 0, 32, 248, 21368, 0, 0, 0, 0
1761505065, 2362, 118653, 0, 1, 0, 29, 406, 35249, 0, 0, 0, 0
1761505066, 2180, 103877, 0, 2, 0, 44, 320, 27482, 0, 0, 0, 0
1761505067, 2455, 118330, 0, 2, 0, 39, 256, 22052, 0, 0, 0, 0
1761505068, 2363, 116483, 0, 2, 0, 33, 312, 26922, 0, 0, 0, 0
1761505069, 2963, 136537, 0, 1, 0, 42, 504, 43415, 0, 0, 0, 0
1761505070, 1207, 60360, 0, 0, 0, 12, 174, 14929, 0, 0, 0, 0
1761505071, 2995, 135928, 0, 1, 0, 40, 384, 32830, 0, 0, 0, 0
1761505072, 2888, 147005, 0, 1, 0, 27, 454, 39009, 0, 0, 0, 0
1761505073, 1345, 67332, 0, 0, 0, 8, 196, 16788, 0, 0, 0, 0
1761505074, 1684, 71420, 0, 0, 0, 22, 544, 47756, 0, 0, 0, 0
1761505075, 2192, 106992, 0, 0, 0, 15, 366, 31744, 0, 0, 0, 0
1761505076, 1992, 82891, 0, 0, 0, 8, 466, 39654, 0, 0, 0, 0
1761505077, 2526, 132548, 0, 1, 0, 24, 346, 29622, 0, 0, 0, 0
1761505078, 2805, 129114, 0, 1, 0, 32, 488, 41978, 0, 0, 0, 0
1761505079, 2202, 107409, 0, 0, 0, 16, 456, 38935, 0, 0, 0, 0
1761505080, 3688, 187832, 0, 1, 0, 29, 524, 45016, 0, 0, 0, 0
1761505081, 4037, 188702, 0, 1, 0, 37, 648, 55524, 0, 0, 0, 0
1761505082, 4194, 178926, 0, 1, 0, 26, 1718, 149888, 0, 0, 0, 0
1761505083, 4228, 204091, 0, 3, 0, 57, 634, 54752, 0, 0, 0, 0
